State,District,Year,Month,Insolation (in kWh/m²)
Chhattisgarh,Surguja,2024,March,161
Chhattisgarh,Raigarh,2024,March,148
Odisha,Sambalpur,2024,March,152
Odisha,Balangir,2024,March,152
Bihar,Pashchimi Champaran,2024,March,132
Bihar,Purbi Champaran,2024,March,136
Bihar,Gopalganj,2024,March,137
Bihar,Siwan,2024,March,137
Uttar Pradesh,Ballia,2024,March,146
Bihar,Saran,2024,March,142
Bihar,Bhojpur,2024,March,148
Bihar,Jahanabad,2024,March,154
Bihar,Rohtas,2024,March,152
Bihar,Aurangabad,2024,March,151
Jharkhand,Palamu,2024,March,162
Bihar,Sitamarhi,2024,March,133
Bihar,Darbhanga,2024,March,134
Bihar,Muzaffarpur,2024,March,133
Bihar,Nalanda,2024,March,152
Bihar,Nawada,2024,March,151
Bihar,Gaya,2024,March,153
Bihar,Madhubani,2024,March,133
Bihar,Madhepura,2024,March,130
Bihar,Saharsa,2024,March,133
Bihar,Khagaria,2024,March,136
Bihar,Begusarai,2024,March,141
Bihar,Munger,2024,March,138
Bihar,Bhagalpur,2024,March,138
Jharkhand,Deoghar,2024,March,143
Jharkhand,Giridih,2024,March,141
Bihar,Purnia,2024,March,127
Bihar,Katihar,2024,March,128
Jharkhand,Sahibganj,2024,March,131
Jharkhand,Godda,2024,March,139
Jharkhand,Dumka,2024,March,136
Jharkhand,Lohardaga,2024,March,153
Jharkhand,Gumla,2024,March,155
Odisha,Sundargarh,2024,March,148
Odisha,Kandhamal,2024,March,143
Jharkhand,Hazaribagh,2024,March,149
Jharkhand,Ranchi,2024,March,148
Odisha,Keonjhar (Kendujhar),2024,March,144
Odisha,Dhenkanal,2024,March,143
Odisha,Cuttack,2024,March,140
Odisha,Khordha,2024,March,139
Jharkhand,Dhanbad,2024,March,140
West Bengal,Puruliya,2024,March,140
Jharkhand,East Singhbhum,2024,March,144
Odisha,Mayurbhanj,2024,March,133
Odisha,Balasore,2024,March,134
West Bengal,Birbhum,2024,March,134
West Bengal,Bankura,2024,March,137
West Bengal,Purba Barddhaman,2024,March,131
West Bengal,Paschim Medinipur,2024,March,131
Odisha,Ganjam,2024,March,146
Sikkim,Gangtok,2024,March,85
West Bengal,Darjiling,2024,March,88
West Bengal,Jalpaiguri,2024,March,110
West Bengal,Dakshin Dinajpur,2024,March,124
West Bengal,Maldah,2024,March,129
West Bengal,Murshidabad,2024,March,131
West Bengal,Koch Bihar,2024,March,119
Assam,Kokrajhar,2024,March,115
Assam,Goalpara,2024,March,121
Meghalaya,East Garo Hills,2024,March,112
Meghalaya,West Garo Hills,2024,March,114
Arunachal Pradesh,Shi Yomi,2024,March,60
Arunachal Pradesh,Lepa Rada,2024,March,72
Arunachal Pradesh,Namsai,2024,March,96
Arunachal Pradesh,Kra Daadi,2024,March,67
Arunachal Pradesh,Kra Daadi,2024,March,60
Arunachal Pradesh,Longding,2024,March,116
Arunachal Pradesh,Siang,2024,March,62
Haryana,Nuh,2024,March,141
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,March,152
Jammu and Kashmir,Rajauri,2024,March,106
Jammu and Kashmir,Doda,2024,March,95
Jammu and Kashmir,Samba,2024,March,116
Jammu and Kashmir,Ramban,2024,March,89
Jammu and Kashmir,Shupiyan,2024,March,98
Jammu and Kashmir,Kulgam,2024,March,101
Jammu and Kashmir,Pulwama,2024,March,99
Jammu and Kashmir,Badgam,2024,March,99
Jammu and Kashmir,Bandipura,2024,March,85
Jammu and Kashmir,Kupwara,2024,March,90
Jammu and Kashmir,Ganderbal,2024,March,94
Punjab,Gurdaspur,2024,March,117
Punjab,Amritsar,2024,March,109
Punjab,Hoshiarpur,2024,March,117
Himachal Pradesh,Chamba,2024,March,102
Himachal Pradesh,Lahul & Spiti,2024,March,109
Himachal Pradesh,Mandi,2024,March,118
Himachal Pradesh,Hamirpur,2024,March,123
Himachal Pradesh,Una,2024,March,119
Himachal Pradesh,Kullu,2024,March,102
Himachal Pradesh,Kinnaur,2024,March,97
Himachal Pradesh,Kangra,2024,March,91
Jammu and Kashmir,Muzaffarabad,2024,March,74
Jammu and Kashmir,Baramula,2024,March,90
Jammu and Kashmir,Punch,2024,March,95
Jammu and Kashmir,Mirpur,2024,March,109
Jammu and Kashmir,Riasi,2024,March,110
Jammu and Kashmir,Jammu,2024,March,114
Jammu and Kashmir,Udhampur,2024,March,110
Jammu and Kashmir,Kishtwar,2024,March,82
Jammu and Kashmir,Anantnag,2024,March,101
Jammu and Kashmir,Srinagar,2024,March,100
Ladakh,Leh,2024,March,116
Jammu and Kashmir,Kathua,2024,March,117
Punjab,Tarn Taran,2024,March,113
Jammu and Kashmir,Rajauri,2024,March,106
Jammu and Kashmir,Doda,2024,March,95
Jammu and Kashmir,Samba,2024,March,116
Jammu and Kashmir,Ramban,2024,March,89
Jammu and Kashmir,Shupiyan,2024,March,98
Jammu and Kashmir,Kulgam,2024,March,101
Jammu and Kashmir,Pulwama,2024,March,99
Jammu and Kashmir,Badgam,2024,March,99
Jammu and Kashmir,Bandipura,2024,March,85
Jammu and Kashmir,Kupwara,2024,March,90
Jammu and Kashmir,Ganderbal,2024,March,94
Punjab,Kapurthala,2024,March,114
Himachal Pradesh,Hamirpur,2024,March,121
Himachal Pradesh,Kullu,2024,March,101
Himachal Pradesh,Kinnaur,2024,March,121
Jammu and Kashmir,Kathua,2024,March,115
Himachal Pradesh,Chamba,2024,March,101
Himachal Pradesh,Lahul & Spiti,2024,March,130
Jammu and Kashmir,Rajauri,2024,March,112
Jammu and Kashmir,Ramban,2024,March,80
Jammu and Kashmir,Kishtwar,2024,March,98
Ladakh,Kargil,2024,March,114
Ladakh,Leh,2024,March,96
Jammu and Kashmir,Baramula,2024,March,86
Jammu and Kashmir,Ganderbal,2024,March,97
Ladakh,Kargil,2024,March,130
Ladakh,Leh,2024,March,84
Ladakh,Leh,2024,March,89
Ladakh,Leh,2024,March,95
Ladakh,Leh,2024,March,120
Ladakh,Leh,2024,March,111
Ladakh,Leh,2024,March,93
Ladakh,Leh,2024,March,102
Ladakh,Leh,2024,March,125
Ladakh,Leh,2024,March,101
Ladakh,Leh,2024,March,121
Ladakh,Leh,2024,March,88
Ladakh,Leh,2024,March,96
Ladakh,Leh,2024,March,84
Lakshadweep,Lakshadweep,2024,March,176
Lakshadweep,Lakshadweep,2024,March,174
Andaman and Nicobar Islands,South andamans,2024,March,189
Andhra Pradesh,Ysr Kadapa,2024,March,196
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,March,184
Andhra Pradesh,Nandyal,2024,March,183
Andhra Pradesh,Palnadu,2024,March,179
Maharashtra,Solapur,2024,March,167
Telangana,Bhadradri Kothagudem,2024,March,159
Andhra Pradesh,Alluri Sitharama Raju,2024,March,157
Odisha,Rayagarha,2024,March,146
Odisha,Ganjam,2024,March,134
Gujarat,Kachchh,2024,March,162
Gujarat,Kachchh,2024,March,162
Rajasthan,Barmer,2024,March,149
Rajasthan,Jaisalmer,2024,March,141
Rajasthan,Jaisalmer,2024,March,142
Rajasthan,Jaisalmer,2024,March,142
Rajasthan,Bikaner,2024,March,147
Rajasthan,Bikaner,2024,March,134
Arunachal Pradesh,Upper Siang,2024,March,102
Arunachal Pradesh,Dibang Valley,2024,March,90
West Bengal,South 24Parganas,2024,March,128
Rajasthan,Jaisalmer,2024,April,138
Rajasthan,Barmer,2024,April,150
Punjab,Gurdaspur,2024,April,155
Gujarat,Gandhinagar,2024,April,146
Rajasthan,Bikaner,2024,April,145
Punjab,Amritsar,2024,April,150
Punjab,Firozpur,2024,April,150
Punjab,Faridkot,2024,April,146
Punjab,Bathinda,2024,April,146
Rajasthan,Churu,2024,April,155
Punjab,Hoshiarpur,2024,April,156
Punjab,Kapurthala,2024,April,151
Punjab,Jalandhar,2024,April,153
Punjab,Ludhiana,2024,April,151
Punjab,Sangrur,2024,April,145
Haryana,Sirsa,2024,April,155
Haryana,Hisar,2024,April,147
Rajasthan,Jhunjhunun,2024,April,152
Himachal Pradesh,Chamba,2024,April,124
Himachal Pradesh,Lahul & Spiti,2024,April,124
Himachal Pradesh,Mandi,2024,April,155
Himachal Pradesh,Hamirpur,2024,April,163
Himachal Pradesh,Una,2024,April,158
Himachal Pradesh,Bilaspur,2024,April,161
Punjab,Rupnagar,2024,April,159
Haryana,Ambala,2024,April,153
Punjab,Patiala,2024,April,147
Chandigarh,Chandigarh,2024,April,161
Haryana,Karnal,2024,April,156
Haryana,Jind,2024,April,152
Haryana,Kaithal,2024,April,151
Haryana,Rohtak,2024,April,147
Uttarakhand,Bageshwar,2024,April,147
Uttarakhand,Udham Singh Nagar,2024,April,152
Uttar Pradesh,Amroha,2024,April,159
Haryana,Rewari,2024,April,149
Jharkhand,Bokaro,2024,April,166
Tamil Nadu,Thiruvarur,2024,April,184
Haryana,Bhiwani,2024,April,149
Haryana,Mahendragarh,2024,April,156
Himachal Pradesh,Kullu,2024,April,136
Himachal Pradesh,Shimla,2024,April,146
Himachal Pradesh,Solan,2024,April,158
Himachal Pradesh,Sirmaur,2024,April,157
Uttar Pradesh,Saharanpur,2024,April,156
Uttar Pradesh,Muzaffarnagar,2024,April,159
Delhi,Central,2024,April,150
Uttar Pradesh,Meerut,2024,April,160
Haryana,Sonipat,2024,April,145
Uttar Pradesh,Ghaziabad,2024,April,154
Haryana,Gurugram,2024,April,149
Uttar Pradesh,Bulandshahr,2024,April,155
Haryana,Faridabad,2024,April,147
Himachal Pradesh,Kinnaur,2024,April,116
Uttarakhand,Uttarkashi,2024,April,141
Uttarakhand,Dehradun,2024,April,158
Uttarakhand,Pauri Garhwal,2024,April,154
Uttarakhand,Tehri Garhwal,2024,April,155
Uttarakhand,Haridwar,2024,April,163
Uttar Pradesh,Bijnor,2024,April,161
Uttar Pradesh,Moradabad,2024,April,158
Uttarakhand,Chamoli,2024,April,145
Uttarakhand,Almora,2024,April,147
Uttarakhand,Nainital,2024,April,157
Uttar Pradesh,Rampur,2024,April,156
Uttar Pradesh,Pilibhit,2024,April,155
Uttar Pradesh,Bareilly,2024,April,158
Uttar Pradesh,Budaun,2024,April,159
Uttarakhand,Pithoragarh,2024,April,152
Gujarat,Kachchh,2024,April,164
Gujarat,Jamnagar,2024,April,184
Gujarat,Rajkot,2024,April,189
Gujarat,Junagadh,2024,April,186
Dadra and Nagar Haveli and Daman and Diu,Diu,2024,April,175
Gujarat,Surendranagar,2024,April,178
Gujarat,Amreli,2024,April,187
Rajasthan,Jalor,2024,April,171
Rajasthan,Sirohi,2024,April,171
Rajasthan,Nagaur,2024,April,148
Rajasthan,Jodhpur,2024,April,167
Rajasthan,Pali,2024,April,170
Rajasthan,Udaipur,2024,April,159
Rajasthan,Ajmer,2024,April,163
Rajasthan,Bhilwara,2024,April,161
Rajasthan,Chittaurgarh,2024,April,154
Rajasthan,Sikar,2024,April,154
Rajasthan,Jaipur,2024,April,157
Rajasthan,Tonk,2024,April,158
Rajasthan,Bundi,2024,April,162
Rajasthan,Kota,2024,April,160
Madhya Pradesh,Mandsaur,2024,April,149
Gujarat,Gandhinagar,2024,April,177
Gujarat,Mahesana,2024,April,175
Gujarat,Ahmadabad,2024,April,174
Gujarat,Kheda,2024,April,174
Gujarat,Bhavnagar,2024,April,172
Gujarat,Bharuch,2024,April,190
Gujarat,Valsad,2024,April,188
Dadra and Nagar Haveli and Daman and Diu,Daman,2024,April,189
Rajasthan,Dungarpur,2024,April,166
Karnataka,Bengaluru (Urban),2024,April,188
Gujarat,Vadodara,2024,April,181
Gujarat,Dangs,2024,April,179
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2024,April,192
Maharashtra,Nashik,2024,April,177
Rajasthan,Banswara,2024,April,164
Madhya Pradesh,Jhabua,2024,April,172
Maharashtra,Dhule,2024,April,179
Madhya Pradesh,Ratlam,2024,April,161
Madhya Pradesh,Ujjain,2024,April,153
Madhya Pradesh,Indore,2024,April,168
Madhya Pradesh,Dhar,2024,April,168
Madhya Pradesh,Khargone,2024,April,178
Maharashtra,Jalgaon,2024,April,182
Rajasthan,Alwar,2024,April,146
Rajasthan,Sawai Madhopur,2024,April,161
Rajasthan,Jhalawar,2024,April,160
Madhya Pradesh,Rajgarh,2024,April,153
Uttar Pradesh,Mathura,2024,April,154
Rajasthan,Bharatpur,2024,April,151
Rajasthan,Dhaulpur,2024,April,160
Madhya Pradesh,Shivpuri,2024,April,165
Madhya Pradesh,Guna,2024,April,159
Uttar Pradesh,Aligarh,2024,April,160
Uttar Pradesh,Etah,2024,April,157
Uttar Pradesh,Agra,2024,April,154
Uttar Pradesh,Firozabad,2024,April,159
Madhya Pradesh,Bhind,2024,April,161
Madhya Pradesh,Morena,2024,April,160
Madhya Pradesh,Gwalior,2024,April,159
Madhya Pradesh,Datia,2024,April,163
Uttar Pradesh,Jhansi,2024,April,165
Madhya Pradesh,Tikamgarh,2024,April,167
Uttar Pradesh,Lalitpur,2024,April,161
Uttar Pradesh,Farrukhabad,2024,April,157
Uttar Pradesh,Mainpuri,2024,April,157
Uttar Pradesh,Shahjahanpur,2024,April,159
Uttar Pradesh,Etawah,2024,April,162
Uttar Pradesh,Jalaun,2024,April,161
Madhya Pradesh,Chhatarpur,2024,April,171
Madhya Pradesh,Shajapur,2024,April,153
Madhya Pradesh,Dewas,2024,April,170
Madhya Pradesh,Khandwa,2024,April,183
Maharashtra,Buldhana,2024,April,157
Madhya Pradesh,Vidisha,2024,April,175
Madhya Pradesh,Raisen,2024,April,178
Madhya Pradesh,Bhopal,2024,April,174
Madhya Pradesh,Sehore,2024,April,173
Madhya Pradesh,Narmadapuram,2024,April,188
Madhya Pradesh,Betul,2024,April,159
Maharashtra,Amravati,2024,April,160
Maharashtra,Akola,2024,April,166
Madhya Pradesh,Sagar,2024,April,166
Madhya Pradesh,Chhindwara,2024,April,173
Maharashtra,Wardha,2024,April,169
Maharashtra,Yavatmal,2024,April,177
Madhya Pradesh,Jabalpur,2024,April,184
Madhya Pradesh,Narsinghpur,2024,April,183
Madhya Pradesh,Seoni,2024,April,172
Maharashtra,Bhandara,2024,April,168
Maharashtra,Nagpur,2024,April,158
Uttar Pradesh,Sitapur,2024,April,157
Uttar Pradesh,Hardoi,2024,April,158
Uttar Pradesh,Lucknow,2024,April,163
Uttar Pradesh,Unnao,2024,April,162
Uttar Pradesh,Kanpur Nagar,2024,April,163
Uttar Pradesh,Hamirpur,2024,April,165
Uttar Pradesh,Fatehpur,2024,April,167
Uttar Pradesh,Banda,2024,April,170
Madhya Pradesh,Panna,2024,April,175
Assam,Hailakandi,2024,April,166
Bihar,Supaul,2024,April,162
Gujarat,Surat,2024,April,191
Tamil Nadu,Sivaganga,2024,April,165
Tamil Nadu,Thoothukudi,2024,April,175
Maharashtra,Hingoli,2024,April,174
Punjab,Shahid Bhagat Singh Nagar,2024,April,154
Himachal Pradesh,Kangra,2024,April,135
Sikkim,Mangan,2024,April,122
Sikkim,Namchi,2024,April,132
Assam,Dhubri,2024,April,167
Mizoram,Saiha,2024,April,161
Tamil Nadu,Nagapattinam,2024,April,189
Kerala,Pathanamthitta,2024,April,174
Maharashtra,Mumbai Suburban,2024,April,182
Meghalaya,Ri-Bhoi,2024,April,166
Meghalaya,South Garo Hills,2024,April,151
Mizoram,Serchhip,2024,April,168
Mizoram,Champhai,2024,April,162
Mizoram,Mamit,2024,April,181
Mizoram,Kolasib,2024,April,173
Punjab,Fatehgarh Sahib,2024,April,152
Madhya Pradesh,Anuppur,2024,April,172
Madhya Pradesh,Ashoknagar,2024,April,157
Uttarakhand,Champawat,2024,April,152
Uttarakhand,Rudraprayag,2024,April,156
Madhya Pradesh,Burhanpur,2024,April,180
Jammu and Kashmir,Muzaffarabad,2024,April,95
Jammu and Kashmir,Baramula,2024,April,103
Jammu and Kashmir,Punch,2024,April,113
Jammu and Kashmir,Mirpur,2024,April,125
Jammu and Kashmir,Riasi,2024,April,136
Jammu and Kashmir,Jammu,2024,April,143
Jammu and Kashmir,Udhampur,2024,April,139
Jammu and Kashmir,Kishtwar,2024,April,98
Jammu and Kashmir,Anantnag,2024,April,117
Jammu and Kashmir,Srinagar,2024,April,120
Ladakh,Leh,2024,April,143
Gujarat,Tapi,2024,April,188
Madhya Pradesh,Alirajpur,2024,April,173
Uttar Pradesh,Sambhal,2024,April,159
Assam,Chirang,2024,April,153
Uttar Pradesh,Amethi,2024,April,162
Madhya Pradesh,Satna,2024,April,179
Uttar Pradesh,Bahraich,2024,April,161
Haryana,Yamunanagar,2024,April,159
Haryana,Kurukshetra,2024,April,151
Haryana,Fatehabad,2024,April,154
Rajasthan,Hanumangarh,2024,April,151
Punjab,Sri Muktsar Sahib,2024,April,147
Punjab,Moga,2024,April,145
Haryana,Panchkula,2024,April,162
Rajasthan,Dausa,2024,April,156
Rajasthan,Karauli,2024,April,168
Rajasthan,Rajsamand,2024,April,160
Gujarat,Banas Kantha,2024,April,178
Gujarat,Patan,2024,April,175
Gujarat,Sabar Kantha,2024,April,175
Madhya Pradesh,Neemuch,2024,April,151
Rajasthan,Baran,2024,April,164
Madhya Pradesh,Sheopur,2024,April,172
Uttar Pradesh,Mahoba,2024,April,175
West Bengal,Alipur Duar,2024,April,158
Haryana,Palwal,2024,April,151
Madhya Pradesh,Damoh,2024,April,178
Punjab,Mansa,2024,April,147
Tripura,Dhalai,2024,April,170
Madhya Pradesh,Katni,2024,April,182
Uttar Pradesh,Kanpur Dehat,2024,April,163
Uttar Pradesh,Kannauj,2024,April,161
Uttar Pradesh,Gonda,2024,April,167
Uttar Pradesh,Bara Banki,2024,April,168
Uttar Pradesh,Rae Bareli,2024,April,164
Uttar Pradesh,Pratapgarh,2024,April,161
Uttar Pradesh,Prayagraj,2024,April,170
Madhya Pradesh,Rewa,2024,April,183
Madhya Pradesh,Sidhi,2024,April,183
Uttar Pradesh,Ayodhya,2024,April,163
Uttar Pradesh,Basti,2024,April,162
Uttar Pradesh,Sultanpur,2024,April,159
Uttar Pradesh,Jaunpur,2024,April,168
Uttar Pradesh,Varanasi,2024,April,176
Uttar Pradesh,Mirzapur,2024,April,178
Uttar Pradesh,Siddharthnagar,2024,April,159
Uttar Pradesh,Gorakhpur,2024,April,158
Uttar Pradesh,Deoria,2024,April,157
Uttar Pradesh,Azamgarh,2024,April,165
Uttar Pradesh,Mau,2024,April,169
Uttar Pradesh,Ghazipur,2024,April,175
Uttar Pradesh,Sonbhadra,2024,April,181
Madhya Pradesh,Mandla,2024,April,172
Madhya Pradesh,Balaghat,2024,April,169
Maharashtra,Gadchiroli,2024,April,177
Madhya Pradesh,Shahdol,2024,April,176
Chhattisgarh,Raipur,2024,April,167
Chhattisgarh,Durg,2024,April,167
Chhattisgarh,Rajnandgaon,2024,April,167
Chhattisgarh,Bilaspur,2024,April,165
Arunachal Pradesh,Tawang,2024,April,106
Assam,Nalbari,2024,April,156
Assam,Barpeta,2024,April,163
Assam,Kamrup Metro,2024,April,167
Meghalaya,East Khasi Hills,2024,April,151
Meghalaya,West Khasi Hills,2024,April,149
West Bengal,Nadia,2024,April,154
West Bengal,Hugli,2024,April,153
West Bengal,Haora,2024,April,152
West Bengal,Kolkata,2024,April,154
West Bengal,South 24Parganas,2024,April,151
Tripura,West Tripura,2024,April,168
Tripura,Gomti,2024,April,163
Arunachal Pradesh,West Siang,2024,April,91
Arunachal Pradesh,Upper Subansiri,2024,April,86
Arunachal Pradesh,Dibang Valley,2024,April,86
Arunachal Pradesh,East Siang,2024,April,94
Arunachal Pradesh,West Kameng,2024,April,108
Assam,Sonitpur,2024,April,150
Assam,Marigaon,2024,April,164
Assam,Bongaigaon,2024,April,155
Assam,Darang,2024,April,158
Assam,Nagaon,2024,April,164
Meghalaya,West Jaintia Hills,2024,April,148
Assam,Karimganj,2024,April,163
Assam,Cachar,2024,April,166
Tripura,Unakoti,2024,April,170
Arunachal Pradesh,East Kameng,2024,April,101
Arunachal Pradesh,Papumpare,2024,April,119
Assam,Golaghat,2024,April,152
Assam,Karbi Anglong,2024,April,161
Assam,Dima Hasao,2024,April,157
Manipur,Tamenglong,2024,April,150
Manipur,Imphal East,2024,April,143
Manipur,Bishnupur,2024,April,150
Manipur,Churachandpur,2024,April,158
Manipur,Chandel,2024,April,146
Assam,Dibrugarh,2024,April,104
Assam,Lakhimpur,2024,April,108
Assam,Sibsagar,2024,April,122
Assam,Jorhat,2024,April,139
Nagaland,Mokokchung,2024,April,153
Nagaland,Tuensang,2024,April,135
Nagaland,Wokha,2024,April,166
Nagaland,Zunheboto,2024,April,155
Nagaland,Phek,2024,April,149
Nagaland,Kohima,2024,April,158
Manipur,Senapati,2024,April,146
Manipur,Ukhrul,2024,April,134
Manipur,Thoubal,2024,April,145
Arunachal Pradesh,Tirap,2024,April,116
Nagaland,Mon,2024,April,135
Mizoram,Aizawl,2024,April,174
Mizoram,Lunglei,2024,April,170
Arunachal Pradesh,Lohit,2024,April,85
Maharashtra,Thane,2024,April,189
Maharashtra,Mumbai,2024,April,184
Maharashtra,Raigarh,2024,April,185
Maharashtra,Pune,2024,April,176
Maharashtra,Ratnagiri,2024,April,185
Maharashtra,Sindhudurg,2024,April,185
Maharashtra,Ahmednagar,2024,April,168
Maharashtra,Satara,2024,April,171
Maharashtra,Sangli,2024,April,180
Maharashtra,Kolhapur,2024,April,187
Maharashtra,Chhatrapati Sambhajinagar,2024,April,172
Maharashtra,Jalna,2024,April,172
Maharashtra,Beed,2024,April,159
Maharashtra,Solapur,2024,April,173
Karnataka,Vijayapura,2024,April,163
Goa,North Goa,2024,April,180
Karnataka,Belagavi,2024,April,173
Karnataka,Uttara Kannada,2024,April,177
Karnataka,Dakshina Kannada,2024,April,175
Kerala,Kasaragod,2024,April,174
Karnataka,Dharwad,2024,April,181
Karnataka,Shivamogga,2024,April,187
Karnataka,Chikkamagaluru,2024,April,169
Karnataka,Kodagu,2024,April,179
Lakshadweep,Lakshadweep,2024,April,171
Kerala,Kannur,2024,April,173
Kerala,Kozhikode,2024,April,173
Maharashtra,Parbhani,2024,April,177
Maharashtra,Latur,2024,April,166
Maharashtra,Dharashiv,2024,April,166
Karnataka,Kalaburagi,2024,April,167
Maharashtra,Nanded,2024,April,177
Karnataka,Bidar,2024,April,164
Telangana,Mahabubnagar,2024,April,184
Karnataka,Raichur,2024,April,176
Telangana,Adilabad,2024,April,171
Telangana,Nizamabad,2024,April,176
Telangana,Sangareddy,2024,April,168
Telangana,Hyderabad,2024,April,174
Maharashtra,Chandrapur,2024,April,179
Telangana,Karimnagar,2024,April,174
Telangana,Hanumakonda,2024,April,174
Telangana,Nalgonda,2024,April,176
Karnataka,Ballari,2024,April,180
Karnataka,Chitradurga,2024,April,186
Karnataka,Hassan,2024,April,184
Karnataka,Mandya,2024,April,188
Karnataka,Mysuru,2024,April,189
Andhra Pradesh,Ananthapuramu,2024,April,193
Karnataka,Tumakuru,2024,April,191
Karnataka,Bengaluru (Urban),2024,April,188
Andhra Pradesh,Kurnool,2024,April,186
Andhra Pradesh,Ysr Kadapa,2024,April,197
Karnataka,Kolara,2024,April,192
Tamil Nadu,Dharmapuri,2024,April,185
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,April,189
Andhra Pradesh,Chittoor,2024,April,186
Tamil Nadu,Vellore,2024,April,182
Tamil Nadu,Kanchipuram,2024,April,191
Kerala,Wayanad,2024,April,181
Tamil Nadu,The Nilgiris,2024,April,173
Kerala,Malappuram,2024,April,178
Tamil Nadu,Coimbatore,2024,April,189
Kerala,Palakkad,2024,April,180
Kerala,Thrissur,2024,April,175
Kerala,Ernakulam,2024,April,174
Kerala,Kottayam,2024,April,176
Kerala,Alappuzha,2024,April,176
Kerala,Idukki,2024,April,179
Kerala,Thiruvananthapuram,2024,April,168
Kerala,Kollam,2024,April,176
Tamil Nadu,Erode,2024,April,188
Tamil Nadu,Virudhunagar,2024,April,162
Tamil Nadu,Tirunelveli,2024,April,168
Tamil Nadu,Kanniyakumari,2024,April,166
Tamil Nadu,Salem,2024,April,183
Tamil Nadu,Tiruchirappalli,2024,April,178
Tamil Nadu,Pudukkottai,2024,April,173
Tamil Nadu,Madurai,2024,April,169
Tamil Nadu,Ramanathapuram,2024,April,180
Puducherry,Puducherry,2024,April,188
Tamil Nadu,Cuddalore,2024,April,187
Puducherry,Karaikal,2024,April,190
Tamil Nadu,Thanjavur,2024,April,177
Telangana,Khammam,2024,April,177
Andhra Pradesh,Guntur,2024,April,181
Andhra Pradesh,Krishna,2024,April,181
Andhra Pradesh,Eluru,2024,April,176
Chhattisgarh,Bastar,2024,April,182
Odisha,Koraput,2024,April,178
Andhra Pradesh,Kakinada,2024,April,175
Puducherry,Yanam,2024,April,177
Odisha,Kalahandi,2024,April,180
Andhra Pradesh,Srikakulam,2024,April,175
Andhra Pradesh,Vizianagaram,2024,April,169
Andhra Pradesh,Visakhapatnam,2024,April,176
Andhra Pradesh,Prakasam,2024,April,182
Tamil Nadu,Chennai,2024,April,192
Andaman and Nicobar Islands,South andamans,2024,April,210
Uttar Pradesh,Kheri,2024,April,156
Uttar Pradesh,Ambedkar Nagar,2024,April,160
Uttar Pradesh,Sant Kabir Nagar,2024,April,158
Uttar Pradesh,Kaushambi,2024,April,168
Uttar Pradesh,Chitrakoot,2024,April,171
Uttar Pradesh,Kushinagar,2024,April,156
Bihar,Kaimur,2024,April,177
Uttar Pradesh,Chandauli,2024,April,179
Jharkhand,Garhwa,2024,April,184
Uttar Pradesh,Bhadohi,2024,April,175
Jharkhand,Chatra,2024,April,182
Gujarat,Narmada,2024,April,188
Maharashtra,Nandurbar,2024,April,181
Madhya Pradesh,Barwani,2024,April,180
Gujarat,Panch Mahals,2024,April,177
Gujarat,Dahod,2024,April,174
Gujarat,Anand,2024,April,180
Gujarat,Navsari,2024,April,196
Maharashtra,Washim,2024,April,167
Maharashtra,Gondia,2024,April,171
Madhya Pradesh,Harda,2024,April,183
Madhya Pradesh,Umaria,2024,April,182
Chhattisgarh,Korea,2024,April,182
Chhattisgarh,Kawardha (Kabirdham),2024,April,161
Chhattisgarh,Janjgir - Champa,2024,April,164
Jharkhand,Simdega,2024,April,173
Chhattisgarh,Jashpur,2024,April,171
Chhattisgarh,Mahasamund,2024,April,169
Odisha,Nuaparha,2024,April,173
Madhya Pradesh,Dindori,2024,April,173
Chhattisgarh,Korba,2024,April,164
Uttar Pradesh,Hathras,2024,April,161
Odisha,Bargarh,2024,April,170
Chhattisgarh,Uttar Bastar Kanker,2024,April,171
Chhattisgarh,Dhamtari,2024,April,170
Odisha,Nabarangapur,2024,April,173
Chhattisgarh,Dakshin Bastar Dantewara,2024,April,184
Bihar,Buxar,2024,April,175
Bihar,Sheohar,2024,April,159
Jharkhand,Koderma,2024,April,173
Bihar,Jamui,2024,April,175
Jharkhand,Saraikela-Kharsawan,2024,April,172
Bihar,Kishanganj,2024,April,160
West Bengal,Uttar Dinajpur,2024,April,166
Bihar,Araria,2024,April,160
Uttar Pradesh,Gautam Buddha Nagar,2024,April,151
Bihar,Banka,2024,April,173
Jharkhand,Pakur,2024,April,156
Bihar,Lakhisarai,2024,April,174
Bihar,Sheikhpura,2024,April,179
West Bengal,Purba Medinipur,2024,April,149
West Bengal,North Twenty-Four Parganas,2024,April,153
Jharkhand,West Singhbhum,2024,April,171
Odisha,Nayagarh,2024,April,160
Odisha,Boudh,2024,April,177
Odisha,Boudh,2024,April,174
Odisha,Deogarh,2024,April,176
Odisha,Jajapur,2024,April,161
Odisha,Bhadrak,2024,April,162
Odisha,Jagatsinghpur,2024,April,168
Odisha,Kendrapara,2024,April,168
Odisha,Anugul,2024,April,170
Odisha,Malkangiri,2024,April,182
Odisha,Rayagarha,2024,April,157
Odisha,Gajapati,2024,April,172
Odisha,Jharsuguda,2024,April,168
Jharkhand,Jamtara,2024,April,167
